gara-gara	O
gerbong	O
restorasi	O
kereta	O
api	O
-LRB-	O
ka	O
-RRB-	O
sapujagat	O
jurus	O
kutoarjo-jakarta	LOCATION
tergelincir	O
ke	O
luar	LOCATION
rel	LOCATION
senin	TIME
-LRB-	O
1/1	TIME
-RRB-	O
pukul	TIME
23.17	TIME
lama	O
hampir	O
tujuh	TIME
jam	TIME
jalur	O
ka	O
lintas	O
selatan	O
lumpuh	O
total	O
banyak	O
20	O
jalan	O
ka	O
jalur	O
selatan	O
tahan	O
di	O
beberapa	LOCATION
stasiun	LOCATION
ribu	PERSON
penumpang	PERSON
yang	O
umum	O
para	PERSON
pemudik	PERSON
paksa	O
harus	O
inap	O
di	O
dalam	LOCATION
ka	LOCATION
atau	O
di	O
emplasemen	LOCATION
stasiun	LOCATION
celaka	O
yang	O
nyaris	O
bawa	O
petaka	O
sekitar	O
1.300	O
tumpang	O
ka	O
sapujagat	O
kelas	O
ekonomi	O
itu	O
jadi	O
sekitar	O
1,5	O
kilometer	O
belum	O
stasiun	O
ka	O
karanggandul	O
ke	O
arah	LOCATION
barat	LOCATION
laut	LOCATION
purwokerto	LOCATION
lokasi	O
celaka	O
hanya	O
beberapa	O
puluh	O
meter	O
belum	O
jembatan	O
ka	O
tanpa	O
sayap	O
ka	O
dengan	O
masinis	O
turyanto	PERSON
yang	O
tarik	O
lok	O
nomor	O
cc	O
21024	O
dengan	O
delapan	O
gerbong-tujuh	O
gerbong	O
tumpang	O
dan	O
satu	O
gerbong	O
restorasi	O
-LRB-	O
kereta	O
makan	O
-RRB-	O
henti	O
hanya	O
beberapa	LOCATION
puluh	LOCATION
meter	LOCATION
belum	LOCATION
jembatan	LOCATION
tersebut	O
empat	O
roda	O
gerbong	O
restorasi	O
lepas	O
sehingga	O
gerbong	O
itu	O
seret	O
jauh	O
700	O
meter	O
banyak	O
200	O
bantal	O
rel	O
rusak	O
gesekan	O
roda	O
yang	O
telah	O
keluar	O
dari	O
dudukannya	O
dengan	O
rel	O
baja	O
panjang	O
700	O
meter	O
timbul	O
percikan	O
api	O
dan	O
asap	O
tebal	O
para	PERSON
tumpang	PERSON
yang	O
desak	O
di	O
gerbong	LOCATION
akhir	LOCATION
maupun	O
yang	O
ada	O
di	O
dalam	LOCATION
gerbong	LOCATION
makan	LOCATION
panik	O
lihat	O
percikan	O
api	O
dan	O
asap	O
tebal	O
kira	O
jadi	O
kebakaran	O
belas	PERSON
penumpang	PERSON
utama	PERSON
yang	O
ada	O
di	O
gerbong	LOCATION
restorasi	LOCATION
pecah	O
kaca	O
dan	O
nekat	O
loncat	O
ke	O
luar	O
lalu	O
jendela	O
humas	O
pt	O
kai	O
daerah	O
operasi	O
v	O
purwokerto	PERSON
supariadi	PERSON
mengatakan	O
celaka	O
jadi	O
akibat	O
rusak	O
roda	O
gerbong	O
restorasi	O
banyak	O
200	PERSON
tumpang	PERSON
ka	O
sapujagat	O
paksa	O
turun	O
dan	O
inap	O
di	O
stasiun	LOCATION
ka	LOCATION
karanggandul	LOCATION
dan	O
lanjut	O
terus	O
jalan	O
dengan	O
ka	O
lain	O
suasana	O
stasiun	O
kecil	O
yang	O
biasa	O
sepi	O
pada	O
senin	TIME
tengah	TIME
malam	TIME
