urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,masyarakat,WA
2,Siapa presiden pada masa orde baru?,NO ANSWER,WA
3,Siapa presiden pada masa orde baru?,NO ANSWER,WA
4,Siapa presiden pada masa orde baru?,NO ANSWER,WA
5,Siapa presiden pada masa orde baru?,NO ANSWER,WA
6,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
7,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
8,Dimana konferensi asia afrika diselenggarakan?,jenewa,WA
9,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
10,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
11,Siapa presiden pertama Indonesia?,presiden pm,WA
12,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
13,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
14,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
15,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
16,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,WA
17,Kapan diponegoro wafat?,tahun 1560,WA
18,Kapan diponegoro wafat?,pertengahan abad 15,WA
19,Kapan diponegoro wafat?,tahun 1600,WA
20,Kapan diponegoro wafat?,9 april 1419,WA
21,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
22,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
23,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
24,Kapan perjanjian saragosa terjadi?,18 25 tahun,WA
25,Kapan perjanjian saragosa terjadi?,18 25 tahun,WA
26,Kapan Budi Utomo didirikan?,tahun 1932,WA
27,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,WA
28,Kapan Budi Utomo didirikan?,tahun 1920,WA
29,Kapan Budi Utomo didirikan?,tahun 1913,WA
30,Kapan Budi Utomo didirikan?,tahun 1916,WA
31,Siapa pendiri Taman Siswa?,kaum pribumi,WA
32,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
33,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
34,Siapa pendiri Taman Siswa?,wanito susilo,WA
35,Siapa pendiri Taman Siswa?,wanito susilo,WA
36,Dimana letak kerajaan sriwijaya?,palembang,AC
37,Dimana letak kerajaan sriwijaya?,daerah,WA
38,Dimana letak kerajaan sriwijaya?,provinsi sumatera,AC
39,Dimana letak kerajaan sriwijaya?,india,WA
40,Dimana letak kerajaan sriwijaya?,daerah,WA
41,Kapan taman siswa didirikan?,1922,AC
42,Kapan taman siswa didirikan?,1922,AC
43,Kapan taman siswa didirikan?,1919,WA
44,Kapan taman siswa didirikan?,1915,WA
45,Kapan taman siswa didirikan?,tahun 1940,WA
46,dimana budi utomo didirikan?,batavia,AC
47,dimana budi utomo didirikan?,batavia,AC
48,dimana budi utomo didirikan?,batavia,AC
49,dimana budi utomo didirikan?,batavia,AC
50,dimana budi utomo didirikan?,yogyakarta,WA
51,dimana taman siswa didirikan?,yogyakarta,AC
52,dimana taman siswa didirikan?,yogyakarta,AC
53,dimana taman siswa didirikan?,medan,WA
54,dimana taman siswa didirikan?,yogyakarta,AC
55,dimana taman siswa didirikan?,yogyakarta,AC
56,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
57,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
58,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
59,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
60,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
61,kapan hayam wuruk wafat?,1350 1389,AC
62,kapan hayam wuruk wafat?,tahun 1389,AC
63,kapan hayam wuruk wafat?,1350 1389,AC
64,kapan hayam wuruk wafat?,tahun 1389,AC
65,kapan hayam wuruk wafat?,1350 1389,AC
66,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
67,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
68,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
69,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
70,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat,WA
71,siapa pemimpin kerajaan tidore?,presiden b.j habibie,WA
72,siapa pemimpin kerajaan tidore?,presiden abdurrahman wahid,WA
73,siapa pemimpin kerajaan tidore?,theys h eluoy,WA
74,siapa pemimpin kerajaan tidore?,theys h eluoy,WA
75,siapa pemimpin kerajaan tidore?,henry leme,WA
76,kapan belanda datang ke maluku?,tanggal 19 desember 1948,WA
77,kapan belanda datang ke maluku?,bulan oktober 1946,WA
78,kapan belanda datang ke maluku?,bulan oktober 1946,WA
79,kapan belanda datang ke maluku?,1946,WA
80,kapan belanda datang ke maluku?,1946,WA
81,kapan portugis datang ke maluku?,1521,WA
82,kapan portugis datang ke maluku?,1521,WA
83,kapan portugis datang ke maluku?,1498,WA
84,kapan portugis datang ke maluku?,1498,WA
85,kapan portugis datang ke maluku?,NO ANSWER,WA
86,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
87,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
88,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
89,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
90,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
91,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
92,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
93,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
94,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
95,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
96,siapa penulis kitab negara kertagama?,masyarakat india,WA
97,siapa penulis kitab negara kertagama?,india,WA
98,siapa penulis kitab negara kertagama?,masyarakat,WA
99,siapa penulis kitab negara kertagama?,masyarakat,WA
100,siapa penulis kitab negara kertagama?,indonesia,WA
101,kapan voc didirikan?,NO ANSWER,WA
102,kapan voc didirikan?,NO ANSWER,WA
103,kapan voc didirikan?,NO ANSWER,WA
104,kapan voc didirikan?,NO ANSWER,WA
105,kapan voc didirikan?,NO ANSWER,WA
106,kapan voc dibubarkan?,masa paku buwono,WA
107,kapan voc dibubarkan?,1670,WA
108,kapan voc dibubarkan?,NO ANSWER,WA
109,kapan voc dibubarkan?,NO ANSWER,WA
110,kapan voc dibubarkan?,NO ANSWER,WA
111,siapa multatuli?,NO ANSWER,WA
112,siapa multatuli?,NO ANSWER,WA
