rank,document,verdict
1,dok253.txt,WA
2,dok101.txt,WA
3,dok30.txt,WA
4,dok331.txt,WA
5,dok385.txt,WA
6,dok394.txt,WA
7,dok24.txt,WA
8,dok95.txt,WA
9,dok142.txt,WA
10,dok71.txt,WA
11,dok189.txt,WA
12,dok319.txt,WA
13,dok113.txt,WA
14,dok42.txt,WA
15,dok402.txt,WA
16,dok15.txt,WA
17,dok86.txt,WA
18,dok248.txt,WA
19,dok111.txt,WA
20,dok40.txt,WA
21,dok390.txt,WA
22,dok343.txt,WA
23,dok19.txt,WA
24,dok90.txt,WA
25,dok269.txt,WA
26,dok157.txt,WA
27,dok334.txt,WA
28,dok6.txt,WA
29,dok77.txt,WA
30,dok261.txt,WA
31,dok384.txt,WA
32,dok209.txt,WA
33,dok365.txt,WA
34,dok27.txt,WA
35,dok98.txt,WA
36,dok270.txt,AC
37,dok386.txt,WA
38,dok214.txt,WA
39,dok3.txt,WA
40,dok74.txt,WA
41,dok202.txt,WA
42,dok217.txt,WA
43,dok115.txt,WA
44,dok44.txt,WA
45,dok236.txt,WA
46,dok23.txt,WA
47,dok94.txt,WA
48,dok279.txt,WA
49,dok21.txt,WA
50,dok92.txt,WA
51,dok401.txt,WA
52,dok353.txt,WA
53,dok290.txt,WA
54,dok10.txt,WA
55,dok81.txt,WA
56,dok159.txt,WA
57,dok7.txt,AC
58,dok78.txt,AC
59,dok176.txt,WA
60,dok133.txt,AC
61,dok62.txt,AC
62,dok18.txt,WA
63,dok89.txt,WA
64,dok126.txt,WA
65,dok55.txt,WA
66,dok258.txt,WA
67,dok80.txt,WA
68,dok9.txt,WA
69,dok103.txt,WA
70,dok32.txt,WA
71,dok203.txt,WA
72,dok268.txt,WA
73,dok325.txt,WA
74,dok243.txt,WA
75,dok2.txt,WA
76,dok73.txt,WA
77,dok280.txt,WA
78,dok1.txt,WA
79,dok72.txt,WA
80,dok106.txt,WA
81,dok35.txt,WA
82,dok207.txt,WA
83,dok304.txt,WA
84,dok383.txt,WA
85,dok107.txt,WA
86,dok36.txt,WA
87,dok13.txt,WA
88,dok84.txt,WA
89,dok12.txt,WA
90,dok83.txt,WA
91,dok79.txt,WA
92,dok8.txt,WA
93,dok252.txt,WA
94,dok165.txt,WA
95,dok17.txt,WA
96,dok88.txt,WA
97,dok16.txt,WA
98,dok87.txt,WA
99,dok266.txt,WA
