urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden ri,
2,Siapa presiden pada masa orde baru?,presiden k.h abdurrahman wahid,
3,Siapa presiden pada masa orde baru?,presiden k.h abdurrahman wahid,
4,Siapa presiden pada masa orde baru?,manipulatif,
5,Siapa presiden pada masa orde baru?,presiden abdurrahman wahid,
6,Siapa presiden pada masa orde baru?,presiden soekarno,
7,Siapa presiden pada masa orde baru?,presiden soekarno,
8,Siapa presiden pada masa orde baru?,presiden soekarno,
9,Dimana konferensi asia afrika diselenggarakan?,kolombo,
10,Dimana konferensi asia afrika diselenggarakan?,jenewa,
11,Dimana konferensi asia afrika diselenggarakan?,kolombo,
12,Dimana konferensi asia afrika diselenggarakan?,dunia,
13,Dimana konferensi asia afrika diselenggarakan?,dunia,
14,Dimana konferensi asia afrika diselenggarakan?,asia,
15,Dimana konferensi asia afrika diselenggarakan?,kolombo,
16,Dimana konferensi asia afrika diselenggarakan?,kolombo,
17,Siapa presiden pertama Indonesia?,presiden pm,
18,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,
19,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,
20,Siapa presiden pertama Indonesia?,indische partij,
21,Siapa presiden pertama Indonesia?,presiden,
22,Siapa presiden pertama Indonesia?,cipto mangunkusumo,
23,Siapa presiden pertama Indonesia?,6.00 pagi belanda,
24,Siapa presiden pertama Indonesia?,6.00 pagi belanda,
25,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,
26,Kapan diponegoro wafat?,tahun 1560,
27,Kapan diponegoro wafat?,pertengahan abad 15,
28,Kapan diponegoro wafat?,tahun 1600,
29,Kapan diponegoro wafat?,9 april 1419,
30,Kapan diponegoro wafat?,tahun 1450,
31,Kapan diponegoro wafat?,tahun 1570,
32,Kapan diponegoro wafat?,NO ANSWER,WA
33,Kapan perjanjian saragosa terjadi?,22 april 1529,
34,Kapan perjanjian saragosa terjadi?,22 april 1529,
35,Kapan perjanjian saragosa terjadi?,22 april 1529,
36,Kapan perjanjian saragosa terjadi?,22 april 1529,
37,Kapan perjanjian saragosa terjadi?,22 april 1529,
38,Kapan perjanjian saragosa terjadi?,22 april 1529,
39,Kapan perjanjian saragosa terjadi?,22 april 1529,
40,Kapan perjanjian saragosa terjadi?,22 april 1529,
41,Kapan Budi Utomo didirikan?,tahun 1932,
42,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,
43,Kapan Budi Utomo didirikan?,tahun 1920,
44,Kapan Budi Utomo didirikan?,tahun 1913,
45,Kapan Budi Utomo didirikan?,tahun 1916,
46,Kapan Budi Utomo didirikan?,tahun 1911,
47,Kapan Budi Utomo didirikan?,tahun 1911,
48,Kapan Budi Utomo didirikan?,tahun 1917,
49,Siapa pendiri Taman Siswa?,kaum pribumi,
50,Siapa pendiri Taman Siswa?,pawiyatan wanito,
51,Siapa pendiri Taman Siswa?,pawiyatan wanito,
52,Siapa pendiri Taman Siswa?,wanito susilo,
53,Siapa pendiri Taman Siswa?,wanito susilo,
54,Siapa pendiri Taman Siswa?,masyarakat pribumi,
55,Siapa pendiri Taman Siswa?,wanito utomo,
