"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"2","Siapa presiden pada masa orde baru?","bangsa indonesia","WA"
"3","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"4","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"5","Dimana konferensi asia afrika diselenggarakan?","jenewa","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"7","Siapa presiden pertama Indonesia?","orang indonesia asli","WA"
"8","Siapa presiden pertama Indonesia?","orang indonesia orisinil","WA"
"9","Siapa presiden pertama Indonesia?","presiden indonesia","WA"
"10","Kapan diponegoro wafat?","1749","WA"
"11","Kapan diponegoro wafat?","1582","WA"
"12","Kapan diponegoro wafat?","tahun 1601","WA"
"13","Kapan perjanjian saragosa terjadi?","1534","WA"
"14","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"15","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"16","Kapan Budi Utomo didirikan?","tahun 1932","WA"
"17","Kapan Budi Utomo didirikan?","tanggal 7 maret 1915","WA"
"18","Kapan Budi Utomo didirikan?","tahun 1920","WA"
"19","Siapa pendiri Taman Siswa?","NO ANSWER","WA"
"20","Siapa pendiri Taman Siswa?","NO ANSWER","WA"
"21","Siapa pendiri Taman Siswa?","NO ANSWER","WA"
"22","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"23","Dimana letak kerajaan sriwijaya?","india","WA"
"24","Dimana letak kerajaan sriwijaya?","india","WA"
"25","Kapan taman siswa didirikan?","NO ANSWER","WA"
"26","Kapan taman siswa didirikan?","NO ANSWER","WA"
"27","Kapan taman siswa didirikan?","NO ANSWER","WA"
"28","dimana budi utomo didirikan?","batavia","AC"
"29","dimana budi utomo didirikan?","batavia","AC"
"30","dimana budi utomo didirikan?","batavia","AC"
"31","dimana taman siswa didirikan?","jakarta chairul","WA"
"32","dimana taman siswa didirikan?","rengasdengklok","WA"
"33","dimana taman siswa didirikan?","rumah djiaw","WA"
"34","kapan konferensi asia afrika diselenggarakan?","tanggal 14 agustus 1941","WA"
"35","kapan konferensi asia afrika diselenggarakan?","bulan januari 1943","WA"
"36","kapan konferensi asia afrika diselenggarakan?","bulan januari 1943","WA"
"37","kapan hayam wuruk wafat?","tahun 1326","WA"
"38","kapan hayam wuruk wafat?","tahun 1326","WA"
"39","kapan hayam wuruk wafat?","tahun 1389","AC"
"43","siapa pemimpin kerajaan tidore?","raja putra raja kerabat raja","WA"
"44","siapa pemimpin kerajaan tidore?","raja raja","WA"
"45","siapa pemimpin kerajaan tidore?","daerah pusat","WA"
"46","kapan belanda datang ke maluku?","tanggal 19 desember 1948","WA"
"47","kapan belanda datang ke maluku?","8 desember 1947","WA"
"48","kapan belanda datang ke maluku?","tanggal 21 juni 1947","WA"
"49","kapan portugis datang ke maluku?","1521","WA"
"50","kapan portugis datang ke maluku?","1521","WA"
"51","kapan portugis datang ke maluku?","portugis 1511","AC"
"55","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"56","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"57","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"61","kapan voc didirikan?","1743","WA"
"62","kapan voc didirikan?","32 tahun","WA"
"63","kapan voc didirikan?","32 tahun","WA"
"64","kapan voc dibubarkan?","1743","WA"
"65","kapan voc dibubarkan?","32 tahun","WA"
"66","kapan voc dibubarkan?","tahun 1719","WA"
"73","kapan pangeran antasari wafat?","1582","WA"
"74","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"75","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"79","kapan ekspedisi pertama belanda di bali terjadi?","tahun 1289","WA"
"80","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"81","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"82","kapan perlawanan di aceh terjadi?","abad","WA"
"83","kapan perlawanan di aceh terjadi?","tahun 1597","WA"
"84","kapan perlawanan di aceh terjadi?","bulan februari 1944","WA"
"85","siapa pendiri budi utomo?","utomo","WA"
"86","siapa pendiri budi utomo?","parindra partindo","WA"
"87","siapa pendiri budi utomo?","parindra partindo","WA"
"88","kapan sarekat islam didirikan?","1912","WA"
"89","kapan sarekat islam didirikan?","tahun 1911","AC"
"90","kapan sarekat islam didirikan?","tahun 1911","AC"
"91","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"92","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"93","siapa pendiri sarekat islam?","indische partij","WA"
