"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"11","Siapa presiden pertama Indonesia?","presiden pm","WA"
"16","Kapan diponegoro wafat?","11 oktober 1862","WA"
"21","Kapan perjanjian saragosa terjadi?","tahun 1756 1763","WA"
"26","Kapan Budi Utomo didirikan?","tahun 1222","WA"
"31","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"36","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"41","Kapan taman siswa didirikan?","1922","AC"
"46","dimana budi utomo didirikan?","batavia","AC"
"51","dimana taman siswa didirikan?","medan","WA"
"56","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"61","kapan hayam wuruk wafat?","1350 1389","AC"
"71","siapa pemimpin kerajaan tidore?","bhatara parameswara","WA"
"76","kapan belanda datang ke maluku?","majapahit tahun 1413","WA"
"81","kapan portugis datang ke maluku?","1512","AC"
"91","kapan perjanjian bongaya ditandatangani?","tahun 1802","WA"
"101","kapan voc didirikan?","1743","WA"
"106","kapan voc dibubarkan?","1743","WA"
"121","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"131","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"136","kapan perlawanan di aceh terjadi?","1792 1815","WA"
"141","siapa pendiri budi utomo?","ken arok","WA"
"146","kapan sarekat islam didirikan?","abad 16","WA"
"151","siapa pendiri sarekat islam?","pedagang islam","AC"
"156","kapan indische partij didirikan?","abad 16","WA"
"161","dimana muhammadiyah didirikan?","wilayah yogyakarta","AC"
"166","kapan muhammadiyah didirikan?","abad 16","WA"
"176","siapa yang membawa ajaran marxis?","petani","WA"
"181","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"186","kapan sumpah pemuda terjadi?","pemuda 1928","WA"
"191","kapan partai nasional indonesia lahir?","1905","WA"
"196","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"201","kapan sidang kabinet dwikora diadakan?","pukul 20.00","WA"
"206","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"211","siapa pemimpin APRA?","gerrado machado","WA"
"216","siapa pemimpin RMS?","gerrado machado","WA"
"221","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"226","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"231","kapan seinendan didirikan?","abad 16","WA"
"236","kapan rakyat bali melawan belanda?","bulan maret 1949","WA"
"241","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"251","dimana perjanjian renville dibuat?","wilayah indonesia","WA"
"256","kapan perjanjian renville dilakukan?","1 oktober 1949","WA"
"266","kapan pancasila lahir?","uud 1945","WA"
"271","siapa ketua ppki?","prof mr dr soepomo","WA"
"276","kapan nagasaki dibom?","8 agustus 1945","WA"
"281","kapan hiroshima dibom?","tanggal 9 agustus 1945","WA"
"286","kapan reformasi terjadi?","61 tahun","WA"
"296","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
