"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"11","Siapa presiden pertama Indonesia?","orang indonesia orisinil","WA"
"16","Kapan diponegoro wafat?","1749","WA"
"21","Kapan perjanjian saragosa terjadi?","20 agustus 1920","WA"
"26","Kapan Budi Utomo didirikan?","tahun 1932","WA"
"31","Siapa pendiri Taman Siswa?","NO ANSWER","WA"
"36","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"41","Kapan taman siswa didirikan?","NO ANSWER","WA"
"46","dimana budi utomo didirikan?","batavia","AC"
"51","dimana taman siswa didirikan?","jakarta chairul","WA"
"56","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"61","kapan hayam wuruk wafat?","1350 1389","AC"
"71","siapa pemimpin kerajaan tidore?","raja raja","WA"
"76","kapan belanda datang ke maluku?","1811","WA"
"81","kapan portugis datang ke maluku?","1512","AC"
"91","kapan perjanjian bongaya ditandatangani?","tahun 1970","WA"
"101","kapan voc didirikan?","1743","WA"
"106","kapan voc dibubarkan?","1743","WA"
"121","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"131","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"136","kapan perlawanan di aceh terjadi?","bulan februari 1944","WA"
"141","siapa pendiri budi utomo?","utomo","WA"
"146","kapan sarekat islam didirikan?","tahun 1919","WA"
"151","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"156","kapan indische partij didirikan?","tahun 1926","WA"
"161","dimana muhammadiyah didirikan?","indonesia","WA"
"166","kapan muhammadiyah didirikan?","tanggal 1 januari 1925","WA"
"176","siapa yang membawa ajaran marxis?","sneevliet","AC"
"181","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"186","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"191","kapan partai nasional indonesia lahir?","1935","WA"
"196","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"201","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"206","kapan supersemar dikeluarkan?","tanggal 23 juli 2001 pukul 1.10 wib hari","WA"
"211","siapa pemimpin APRA?","partai masyumi","WA"
"216","siapa pemimpin RMS?","partai masyumi","WA"
"221","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"226","kapan rengasdengklok terjadi?","keesokan harinya","WA"
"231","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"236","kapan rakyat bali melawan belanda?","1846 1905","AC"
"241","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"251","dimana perjanjian renville dibuat?","eropa","WA"
"256","kapan perjanjian renville dilakukan?","tanggal 19 desember 1948","WA"
"266","kapan pancasila lahir?","uud 1945","WA"
"271","siapa ketua ppki?","mr.ahmad soerbadjo","WA"
"276","kapan nagasaki dibom?","14 agustus 1945","WA"
"281","kapan hiroshima dibom?","tanggal 9 agustus 1945","WA"
"286","kapan reformasi terjadi?","13 mei 1998","AC"
"296","kapan indonesia kembali menjadi anggota pbb?","tanggal 25 juli 1950","WA"
