"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"11","Siapa presiden pertama Indonesia?","partai komunis indonesia partai buruh indonesia partai rakyat","WA"
"16","Kapan diponegoro wafat?","11 oktober 1862","WA"
"21","Kapan perjanjian saragosa terjadi?","tahun 1802","WA"
"26","Kapan Budi Utomo didirikan?","abad 16","WA"
"31","Siapa pendiri Taman Siswa?","NO ANSWER","WA"
"36","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"41","Kapan taman siswa didirikan?","12 tahun","WA"
"46","dimana budi utomo didirikan?","batavia","AC"
"51","dimana taman siswa didirikan?","yogyakarta","AC"
"56","kapan konferensi asia afrika diselenggarakan?","tanggal 20 juli 1954","WA"
"61","kapan hayam wuruk wafat?","tahun 1350","WA"
"71","siapa pemimpin kerajaan tidore?","leif ericson","WA"
"76","kapan belanda datang ke maluku?","awal februari 1948","WA"
"81","kapan portugis datang ke maluku?","tahun 1526","WA"
"91","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"101","kapan voc didirikan?","1743","WA"
"106","kapan voc dibubarkan?","1743","WA"
"121","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"131","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"136","kapan perlawanan di aceh terjadi?","13 mei 1998","WA"
"141","siapa pendiri budi utomo?","utomo","WA"
"146","kapan sarekat islam didirikan?","tahun 1919","WA"
"151","siapa pendiri sarekat islam?","pedagang gujarat","WA"
"156","kapan indische partij didirikan?","abad 16","WA"
"161","dimana muhammadiyah didirikan?","lautan","WA"
"166","kapan muhammadiyah didirikan?","abad 16","WA"
"176","siapa yang membawa ajaran marxis?","petani","WA"
"181","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"186","kapan sumpah pemuda terjadi?","tanggal 1 desember 1945","WA"
"191","kapan partai nasional indonesia lahir?","tanggal 11 november 1945","WA"
"196","kapan sistem tanam paksa diterapkan?","tahun 1850","WA"
"201","kapan sidang kabinet dwikora diadakan?","pukul 20.00","WA"
"206","kapan supersemar dikeluarkan?","tanggal 3 juni 1948","WA"
"211","siapa pemimpin APRA?","partai masyumi","WA"
"216","siapa pemimpin RMS?","partai masyumi","WA"
"221","kapan gerakan non blok diselenggarakan?","tanggal 29 oktober 1888","WA"
"226","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"231","kapan seinendan didirikan?","tahun 1222","WA"
"236","kapan rakyat bali melawan belanda?","1846 1905","AC"
"241","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"251","dimana perjanjian renville dibuat?","daerah ri","WA"
"256","kapan perjanjian renville dilakukan?","8 desember 1947","WA"
"266","kapan pancasila lahir?","1945","WA"
"271","siapa ketua ppki?","mr ahmad subardjo","WA"
"276","kapan nagasaki dibom?","8 agustus 1945","WA"
"281","kapan hiroshima dibom?","tanggal 9 agustus 1945","WA"
"286","kapan reformasi terjadi?","tanggal 6 april 1868","WA"
"296","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
