urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden soekarno,
2,Siapa presiden pada masa orde baru?,bangsa indonesia,
3,Siapa presiden pada masa orde baru?,presiden soekarno,
4,Siapa presiden pada masa orde baru?,bangsa indonesia,
5,Siapa presiden pada masa orde baru?,presiden soekarno,
6,Dimana konferensi asia afrika diselenggarakan?,kolombo,
7,Dimana konferensi asia afrika diselenggarakan?,kolombo,
8,Dimana konferensi asia afrika diselenggarakan?,jenewa,
9,Dimana konferensi asia afrika diselenggarakan?,dunia,
10,Dimana konferensi asia afrika diselenggarakan?,dunia,
11,Siapa presiden pertama Indonesia?,orang indonesia asli,
12,Siapa presiden pertama Indonesia?,orang indonesia orisinil,
13,Siapa presiden pertama Indonesia?,presiden indonesia,
14,Siapa presiden pertama Indonesia?,presiden republik indonesia,
15,Siapa presiden pertama Indonesia?,rakyat indonesia,
16,Kapan diponegoro wafat?,1582,
17,Kapan diponegoro wafat?,1749,
18,Kapan diponegoro wafat?,tahun 1601,
19,Kapan diponegoro wafat?,tanggal 6 november 1864,
20,Kapan diponegoro wafat?,tanggal 12 september 1957,
21,Kapan perjanjian saragosa terjadi?,1534,
22,Kapan perjanjian saragosa terjadi?,22 april 1529,
23,Kapan perjanjian saragosa terjadi?,22 april 1529,
24,Kapan perjanjian saragosa terjadi?,1534,
25,Kapan perjanjian saragosa terjadi?,tahun 1811,
26,Kapan Budi Utomo didirikan?,tahun 1932,
27,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,
28,Kapan Budi Utomo didirikan?,tahun 1920,
29,Kapan Budi Utomo didirikan?,tahun 1913,
30,Kapan Budi Utomo didirikan?,tahun 1916,
31,Siapa pendiri Taman Siswa?,NO ANSWER,WA
32,Siapa pendiri Taman Siswa?,NO ANSWER,WA
33,Siapa pendiri Taman Siswa?,NO ANSWER,WA
34,Siapa pendiri Taman Siswa?,NO ANSWER,WA
35,Siapa pendiri Taman Siswa?,NO ANSWER,WA
36,Dimana letak kerajaan sriwijaya?,provinsi sumatera,
