urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden ri,WA
2,Siapa presiden pada masa orde baru?,presiden k.h abdurrahman wahid,WA
3,Siapa presiden pada masa orde baru?,presiden k.h abdurrahman wahid,WA
4,Siapa presiden pada masa orde baru?,manipulatif,WA
5,Siapa presiden pada masa orde baru?,presiden abdurrahman wahid,WA
6,Siapa presiden pada masa orde baru?,presiden soekarno,WA
7,Siapa presiden pada masa orde baru?,presiden soekarno,WA
8,Siapa presiden pada masa orde baru?,presiden soekarno,WA
9,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
10,Dimana konferensi asia afrika diselenggarakan?,jenewa,WA
11,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
12,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
13,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
14,Dimana konferensi asia afrika diselenggarakan?,asia,WA
15,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
16,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
17,Siapa presiden pertama Indonesia?,presiden pm,WA
18,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
19,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
20,Siapa presiden pertama Indonesia?,indische partij,WA
21,Siapa presiden pertama Indonesia?,presiden,WA
22,Siapa presiden pertama Indonesia?,cipto mangunkusumo,WA
23,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
24,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
25,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,WA
26,Kapan diponegoro wafat?,tahun 1560,WA
27,Kapan diponegoro wafat?,pertengahan abad 15,WA
28,Kapan diponegoro wafat?,tahun 1600,WA
29,Kapan diponegoro wafat?,9 april 1419,WA
30,Kapan diponegoro wafat?,tahun 1450,WA
31,Kapan diponegoro wafat?,tahun 1570,WA
32,Kapan diponegoro wafat?,NO ANSWER,WA
33,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
34,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
35,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
36,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
37,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
38,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
39,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
40,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
41,Kapan Budi Utomo didirikan?,tahun 1932,WA
42,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,WA
43,Kapan Budi Utomo didirikan?,tahun 1920,WA
44,Kapan Budi Utomo didirikan?,tahun 1913,WA
45,Kapan Budi Utomo didirikan?,tahun 1916,WA
46,Kapan Budi Utomo didirikan?,tahun 1911,WA
47,Kapan Budi Utomo didirikan?,tahun 1911,WA
48,Kapan Budi Utomo didirikan?,tahun 1917,WA
49,Siapa pendiri Taman Siswa?,kaum pribumi,WA
50,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
51,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
52,Siapa pendiri Taman Siswa?,wanito susilo,WA
53,Siapa pendiri Taman Siswa?,wanito susilo,WA
54,Siapa pendiri Taman Siswa?,masyarakat pribumi,WA
55,Siapa pendiri Taman Siswa?,wanito utomo,WA
56,Siapa pendiri Taman Siswa?,wanito utomo,WA
57,Dimana letak kerajaan sriwijaya?,palembang,AC
58,Dimana letak kerajaan sriwijaya?,daerah,WA
59,Dimana letak kerajaan sriwijaya?,provinsi sumatera,AC
60,Dimana letak kerajaan sriwijaya?,india,WA
61,Dimana letak kerajaan sriwijaya?,daerah,WA
62,Dimana letak kerajaan sriwijaya?,indonesia,WA
63,Dimana letak kerajaan sriwijaya?,kadaram,WA
64,Dimana letak kerajaan sriwijaya?,india,WA
65,Kapan taman siswa didirikan?,tahun 1294,WA
66,Kapan taman siswa didirikan?,1922,AC
67,Kapan taman siswa didirikan?,1922,AC
68,Kapan taman siswa didirikan?,1922,AC
69,Kapan taman siswa didirikan?,1922,AC
70,Kapan taman siswa didirikan?,1919,WA
71,Kapan taman siswa didirikan?,1915,WA
72,Kapan taman siswa didirikan?,1919,WA
73,dimana budi utomo didirikan?,batavia,AC
74,dimana budi utomo didirikan?,batavia,AC
75,dimana budi utomo didirikan?,batavia,AC
76,dimana budi utomo didirikan?,batavia,AC
77,dimana budi utomo didirikan?,yogyakarta,WA
78,dimana budi utomo didirikan?,batavia,AC
79,dimana budi utomo didirikan?,batavia,AC
80,dimana budi utomo didirikan?,batavia,AC
81,dimana taman siswa didirikan?,yogyakarta,AC
82,dimana taman siswa didirikan?,yogyakarta,AC
83,dimana taman siswa didirikan?,medan,WA
84,dimana taman siswa didirikan?,yogyakarta,AC
85,dimana taman siswa didirikan?,yogyakarta,AC
86,dimana taman siswa didirikan?,medan,WA
87,dimana taman siswa didirikan?,negeri belanda,WA
88,dimana taman siswa didirikan?,yogyakarta,AC
89,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
90,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
91,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
92,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
93,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
94,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
95,kapan konferensi asia afrika diselenggarakan?,tanggal 28 29 desember 1954,WA
96,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
97,kapan hayam wuruk wafat?,tahun 1350,WA
98,kapan hayam wuruk wafat?,1350 1389,AC
99,kapan hayam wuruk wafat?,tahun 1389,AC
100,kapan hayam wuruk wafat?,1350 1389,AC
101,kapan hayam wuruk wafat?,tahun 1389,AC
102,kapan hayam wuruk wafat?,tahun 1350,WA
103,kapan hayam wuruk wafat?,1350 1389,AC
104,kapan hayam wuruk wafat?,tahun 1350,WA
105,siapa wali songo yang menggunakan media pertunjukan wayang?,walisongo,WA
106,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
107,siapa wali songo yang menggunakan media pertunjukan wayang?,walisongo,WA
108,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
109,siapa wali songo yang menggunakan media pertunjukan wayang?,walisongo,WA
110,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
111,siapa wali songo yang menggunakan media pertunjukan wayang?,walisongo,WA
112,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
113,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
114,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
115,siapa pemimpin kerajaan tidore?,kabinet sastroamijoyo,WA
116,siapa pemimpin kerajaan tidore?,kabinet sastroamijoyo,WA
117,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
118,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
119,siapa pemimpin kerajaan tidore?,rakyat indonesia,WA
120,siapa pemimpin kerajaan tidore?,pedagang,WA
121,kapan belanda datang ke maluku?,tahun 1914,WA
122,kapan belanda datang ke maluku?,bulan mei 1949,WA
123,kapan belanda datang ke maluku?,tahun 1913,WA
124,kapan belanda datang ke maluku?,bulan juli 1949,WA
125,kapan belanda datang ke maluku?,tahun 1913,WA
126,kapan belanda datang ke maluku?,tahun 1916,WA
127,kapan belanda datang ke maluku?,tahun 1916,WA
128,kapan belanda datang ke maluku?,tahun 1917,WA
129,kapan portugis datang ke maluku?,1521,WA
130,kapan portugis datang ke maluku?,1521,WA
131,kapan portugis datang ke maluku?,tahun 1522,WA
132,kapan portugis datang ke maluku?,tahun 1522,WA
133,kapan portugis datang ke maluku?,1498,WA
134,kapan portugis datang ke maluku?,1498,WA
135,kapan portugis datang ke maluku?,tahun 1527,WA
136,kapan portugis datang ke maluku?,tahun 1511,WA
137,siapa yang menandatangani perjanjian bongaya?,sekutu,WA
138,siapa yang menandatangani perjanjian bongaya?,wikana,WA
139,siapa yang menandatangani perjanjian bongaya?,tokoh tokoh pemuda,WA
140,siapa yang menandatangani perjanjian bongaya?,sukarno,WA
141,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
142,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
143,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
144,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
145,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
146,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
147,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
148,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
149,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
150,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
151,kapan perjanjian bongaya ditandatangani?,1667 1669,WA
152,kapan perjanjian bongaya ditandatangani?,1667 1669,WA
153,siapa penulis kitab negara kertagama?,masyarakat,WA
154,siapa penulis kitab negara kertagama?,masyarakat,WA
155,siapa penulis kitab negara kertagama?,dharmadhyaksa ring kasaiwan,WA
156,siapa penulis kitab negara kertagama?,kepala agama siwa,WA
157,siapa penulis kitab negara kertagama?,raden wijaya,WA
158,siapa penulis kitab negara kertagama?,raden wijaya,WA
159,siapa penulis kitab negara kertagama?,rama kudadu,WA
160,siapa penulis kitab negara kertagama?,rama kudadu,WA
161,kapan voc didirikan?,32 tahun,WA
