"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"2","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"3","Siapa presiden pada masa orde baru?","bangsa indonesia","WA"
"4","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"5","Dimana konferensi asia afrika diselenggarakan?","jenewa","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"7","Siapa presiden pertama Indonesia?","orang indonesia orisinil","WA"
"8","Siapa presiden pertama Indonesia?","orang indonesia orisinil","WA"
"9","Siapa presiden pertama Indonesia?","presiden indonesia","WA"
"10","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"11","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"12","Kapan diponegoro wafat?","tanggal 6 november 1864","WA"
"13","Kapan perjanjian saragosa terjadi?","1534","WA"
"14","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"15","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"16","Kapan Budi Utomo didirikan?","hari rabu tanggal 20 mei 1908","AC"
"17","Kapan Budi Utomo didirikan?","hari rabu tanggal 20 mei 1908","AC"
"18","Kapan Budi Utomo didirikan?","tahun 1911","WA"
"19","Siapa pendiri Taman Siswa?","mahasiswa","WA"
"20","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"21","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"22","Dimana letak kerajaan sriwijaya?","palembang","AC"
"23","Dimana letak kerajaan sriwijaya?","daerah","WA"
"24","Dimana letak kerajaan sriwijaya?","palembang","AC"
"25","Kapan taman siswa didirikan?","1922","AC"
"26","Kapan taman siswa didirikan?","1922","AC"
"27","Kapan taman siswa didirikan?","1922","AC"
"28","dimana budi utomo didirikan?","batavia","AC"
"29","dimana budi utomo didirikan?","batavia","AC"
"30","dimana budi utomo didirikan?","batavia","AC"
"31","dimana taman siswa didirikan?","medan","WA"
"32","dimana taman siswa didirikan?","yogyakarta","AC"
"33","dimana taman siswa didirikan?","yogyakarta","AC"
"34","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"35","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"36","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"37","kapan hayam wuruk wafat?","tahun 1350","WA"
"38","kapan hayam wuruk wafat?","1350 1389","AC"
"39","kapan hayam wuruk wafat?","tahun 1389","AC"
"40","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"41","siapa wali songo yang menggunakan media pertunjukan wayang?","mubalig keliling","WA"
"42","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"43","siapa pemimpin kerajaan tidore?","sultan mansur","AC"
"44","siapa pemimpin kerajaan tidore?","sultan sarajati","WA"
"45","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"46","kapan belanda datang ke maluku?","1605","AC"
"47","kapan belanda datang ke maluku?","1605","AC"
"48","kapan belanda datang ke maluku?","1521","WA"
"49","kapan portugis datang ke maluku?","1512","AC"
"50","kapan portugis datang ke maluku?","1605","WA"
"51","kapan portugis datang ke maluku?","1512","AC"
"52","siapa yang menandatangani perjanjian bongaya?","paris","WA"
"53","siapa yang menandatangani perjanjian bongaya?","paris","WA"
"54","siapa yang menandatangani perjanjian bongaya?","mao zedong","WA"
"55","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"56","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"57","kapan perjanjian bongaya ditandatangani?","tahun 1970","WA"
"58","siapa penulis kitab negara kertagama?","masyarakat india","WA"
"59","siapa penulis kitab negara kertagama?","masyarakat india","WA"
"60","siapa penulis kitab negara kertagama?","india","WA"
"61","kapan voc didirikan?","1743","WA"
"62","kapan voc didirikan?","32 tahun","WA"
"63","kapan voc didirikan?","32 tahun","WA"
"64","kapan voc dibubarkan?","tahun 1602","WA"
"65","kapan voc dibubarkan?","tahun 1602","WA"
"66","kapan voc dibubarkan?","1 januari 1800","WA"
"67","siapa multatuli?","nurani rakyat belanda","WA"
"68","siapa multatuli?","rakyat indonesia","WA"
"69","siapa multatuli?","pemerintah belanda","WA"
"70","dimana pattimura dilahirkan?","indonesia","WA"
"71","dimana pattimura dilahirkan?","indonesia","WA"
"72","dimana pattimura dilahirkan?","barat","WA"
"73","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"74","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"75","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"76","dimana pangeran antasari wafat?","kampung","WA"
"77","dimana pangeran antasari wafat?","kampung","WA"
"78","dimana pangeran antasari wafat?","jawa","WA"
"79","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"80","kapan ekspedisi pertama belanda di bali terjadi?","1846 1905","WA"
"81","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"82","kapan perlawanan di aceh terjadi?","tanggal 14 april 1873","AC"
"83","kapan perlawanan di aceh terjadi?","tahun 1879","AC"
"84","kapan perlawanan di aceh terjadi?","tanggal 14 april 1873","AC"
"85","siapa pendiri budi utomo?","utomo","WA"
"86","siapa pendiri budi utomo?","soetomo","AC"
"87","siapa pendiri budi utomo?","soetomo","AC"
"88","kapan sarekat islam didirikan?","tahun 1919","WA"
"89","kapan sarekat islam didirikan?","tahun 1919","WA"
"90","kapan sarekat islam didirikan?","tahun 1919","WA"
"91","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"92","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"93","siapa pendiri sarekat islam?","mahasiswa","WA"
"94","kapan indische partij didirikan?","tanggal 20 mei 1908","WA"
"95","kapan indische partij didirikan?","tanggal 25 desember 1912","AC"
"96","kapan indische partij didirikan?","tanggal 25 desember 1912","AC"
"97","dimana muhammadiyah didirikan?","yogyakarta","AC"
"98","dimana muhammadiyah didirikan?","yogyakarta","AC"
"99","dimana muhammadiyah didirikan?","yogyakarta","AC"
"100","kapan muhammadiyah didirikan?","tanggal 1 januari 1925","WA"
"101","kapan muhammadiyah didirikan?","tanggal 31 januari 1926","WA"
"102","kapan muhammadiyah didirikan?","tahun 1932","WA"
"103","kapan partai komunis indonesia berdiri?","29 januari 1946","WA"
"104","kapan partai komunis indonesia berdiri?","29 januari 1946","WA"
"105","kapan partai komunis indonesia berdiri?","tanggal 1 juni 1949","WA"
"106","siapa yang membawa ajaran marxis?","belanda","WA"
"107","siapa yang membawa ajaran marxis?","belanda","WA"
"108","siapa yang membawa ajaran marxis?","belanda","WA"
"109","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"110","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"111","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 3 november 1945","WA"
"112","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"113","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"114","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"115","kapan partai nasional indonesia lahir?","tanggal 22 agustus 1945","WA"
"116","kapan partai nasional indonesia lahir?","1990","WA"
"117","kapan partai nasional indonesia lahir?","tanggal 3 november 1945","WA"
"118","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"119","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"120","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"121","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"122","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"123","kapan sidang kabinet dwikora diadakan?","tanggal 11 maret 1966","AC"
"124","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"125","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"126","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"127","siapa pemimpin APRA?","ibnu hajar","WA"
"128","siapa pemimpin APRA?","kapten raymond westerling","AC"
"129","siapa pemimpin APRA?","kapten raymond westerling","AC"
"130","siapa pemimpin RMS?","dr","WA"
"131","siapa pemimpin RMS?","kolonel kawilarang","WA"
"132","siapa pemimpin RMS?","mayor achmad wiranata","WA"
"133","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"134","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"135","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"136","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"137","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"138","kapan rengasdengklok terjadi?","16 agustus 1945","AC"
"139","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"140","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"141","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"142","kapan rakyat bali melawan belanda?","1846 1905","AC"
"143","kapan rakyat bali melawan belanda?","1846 1905","AC"
"144","kapan rakyat bali melawan belanda?","1859 1905","WA"
"145","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"146","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"147","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"148","dimana konferensi meja bundar dilaksanakan?","lautan","WA"
"149","dimana konferensi meja bundar dilaksanakan?","daratan","WA"
"150","dimana konferensi meja bundar dilaksanakan?","jakara","WA"
"151","dimana perjanjian renville dibuat?","jakarta","WA"
"152","dimana perjanjian renville dibuat?","daerah ri","WA"
"153","dimana perjanjian renville dibuat?","daerah ri","WA"
"154","kapan perjanjian renville dilakukan?","8 desember 1947","WA"
"155","kapan perjanjian renville dilakukan?","tanggal 1 agustus 1947","WA"
"156","kapan perjanjian renville dilakukan?","tanggal 1 agustus 1947","WA"
"157","siapa pengetik naskah proklamasi?","sukarno","WA"
"158","siapa pengetik naskah proklamasi?","sukarno","WA"
"159","siapa pengetik naskah proklamasi?","mr ahmad subardjo","WA"
"160","kapan pancasila lahir?","uud 1945","WA"
"161","kapan pancasila lahir?","uud 1945","WA"
"162","kapan pancasila lahir?","uud 1945","WA"
"163","siapa ketua ppki?","prof mr dr soepomo","WA"
"164","siapa ketua ppki?","mr supomo","WA"
"165","siapa ketua ppki?","drs mohammad hatta","WA"
"166","kapan nagasaki dibom?","8 agustus 1945","WA"
"167","kapan nagasaki dibom?","10 agustus 1945","WA"
"168","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
"169","kapan hiroshima dibom?","6 agustus 1945","AC"
"170","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"171","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"172","kapan reformasi terjadi?","13 mei 1998","AC"
"173","kapan reformasi terjadi?","13 mei 1998","AC"
"174","kapan reformasi terjadi?","tahun 1998","AC"
"175","dimana letak kerajaan majapahit?","gujarat","WA"
"176","dimana letak kerajaan majapahit?","gujarat","WA"
"177","dimana letak kerajaan majapahit?","wilayah pantai masuk","WA"
"178","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
"179","kapan indonesia kembali menjadi anggota pbb?","tanggal 7 januari 1965","WA"
"180","kapan indonesia kembali menjadi anggota pbb?","tanggal 7 januari 1965","WA"
