1	O
Dampak	O
Penjajahan	PERSON
Jepang	PERSON
dalam	O
Kehidupan	O
Politik	O
Sejak	O
awal	O
pemerintahannya	O
Jepang	PERSON
melarang	O
bangsa	O
Indonesia	PERSON
berserikat	O
dan	O
berkumpul	O
Oleh	O
karena	O
itu	O
Jepang	PERSON
membubarkan	O
organisasi-organisasi	O
pergerakan	O
nasional	O
yang	O
dibentuk	O
pada	O
masa	TIME
Hindia	PERSON
Belanda	PERSON
kecuali	O
MIAI	PERSON
MIAI	PERSON
kemudian	O
dibubarkan	O
dan	O
digantikan	O
dengan	O
Masyumi	PERSON
Para	O
tokoh	O
pergerakan	O
nasional	O
pada	O
masa	TIME
pendudukan	O
Jepang	PERSON
mengambil	O
sikap	O
kooperatif	O
Dengan	O
sikap	O
kooperatif	O
mereka	O
banyak	O
yang	O
duduk	O
dalam	O
badan-badan	O
yang	O
dibentuk	O
oleh	O
pemerintah	O
Jepang	PERSON
seperti	O
Gerakan	O
3	O
A	O
Putera	O
dan	O
Cuo	O
Sangi	O
In	O
Selain	O
itu	O
pata	O
tokoh	O
pergerakan	O
nasional	O
juga	O
memanfaatkan	O
kesatuan-kesatuan	O
pertahanan	O
yang	O
telah	O
dibentuk	O
oleh	O
Jepang	PERSON
seperti	O
Jawa	PERSON
Hokokai	PERSON
Heiho	PERSON
Peta	PERSON
dan	O
sebagainya	O
Kebijaksanaan	O
pemerintah	O
Jepang	PERSON
tersebut	O
bertujuan	O
untuk	O
menarik	O
simpati	O
dan	O
mengerahkan	O
rakyat	O
Indonesia	PERSON
untuk	O
membantu	O
Jepang	PERSON
dalam	O
perang	O
melawan	O
Sekutu	O
namun	O
kenyataannya	O
dimanfaatkan	O
oleh	O
para	O
tokoh	O
pergerakan	O
nasional	O
sehingga	O
lebih	O
banyak	O
memberikan	O
keuntungan	O
bagi	O
perjuangan	O
bangsa	PERSON
Indonesia	PERSON
Dengan	O
demikian	O
pemerintah	O
Jepang	PERSON
berhasil	O
melakukan	O
pengekangan	O
terhadap	O
berbagai	O
kegiatan	O
pergerakan	O
nasional	O
namun	O
tidak	O
berhasil	O
mengekang	O
berkembangnya	O
kesadaran	O
nasional	O
bangsa	PERSON
Indonesia	PERSON
menuju	O
Indonesia	PERSON
merdeka	PERSON
2	O
Dampak	O
Penjajahan	O
Jepang	PERSON
dalam	O
Kehidupan	O
Ekonomi	O
Jepang	PERSON
berusaha	O
untuk	O
mendapatkan	O
dan	O
menguasai	O
sumber-sumber	O
bahan	O
mentah	O
untuk	O
industri	O
perang	O
Jepang	PERSON
membagi	O
rencananya	O
dalam	O
dua	O
tahap	O
a.	O
Tahap	O
penguasaan	O
yakni	O
menguasai	O
seluruh	O
kekayaan	O
alam	O
termasuk	O
kekayaan	O
milik	O
pemerintah	O
Hindia	PERSON
Belanda	PERSON
b.	O
Tahap	O
penyusunan	O
kembali	O
struktur	O
ekonomi	O
wilayah	O
dalam	O
rangka	O
memenuhi	O
kebutuhan	O
perang	O
Sesuai	O
dengan	O
tahap	O
ini	O
maka	O
pola	O
ekonomi	O
perang	O
direncanakan	O
bahwa	O
setiap	O
wilayah	O
harus	O
melaksanakan	O
autarki	O
Autarki	O
artinya	O
setiap	O
wilayah	O
harus	O
mencukupi	O
kebutuhan	O
sendiri	O
dan	O
juga	O
harus	O
dapat	O
menunjang	O
kebutuhan	O
perang	PERSON
Romusa	PERSON
mempunyai	O
persamaan	O
dengan	O
kerja	O
rodi/kerja	O
paksa	O
pada	O
zaman	TIME
Hindia	PERSON
Belanda	PERSON
yakni	O
kerja	O
tanpa	O
mendapatkan	O
upah	O
Memasuki	O
tahun	TIME
1944	TIME
tuntutan	O
kebutuhan	O
pangan	O
dan	O
perang	O
makin	O
meningkat	O
Pemerintah	O
Jepang	PERSON
mulai	O
melancarkan	O
kampanye	O
pengerahan	O
barang	O
dan	O
menambah	O
bahan	O
pangan	O
secara	O
besar-besaran	O
yang	O
dilakukan	O
oleh	O
Jawa	PERSON
Hokokai	PERSON
melalui	O
nagyo	PERSON
kumiai	PERSON
-LRB-	O
koperasi	O
pertanian	O
-RRB-	O
dan	O
instansi	O
pemerintah	O
lainnya	O
Pengerahan	O
bahan	O
makanan	O
ini	O
dilakukan	O
dengan	O
cara	O
penyerahan	O
padi	O
atau	O
hasil	O
panen	O
lainnya	O
kepada	O
pemerintah	O
Dari	O
jumlah	O
hasil	O
panen	O
rakyat	O
hanya	O
boleh	O
memiliki	O
40	O
30	O
diserahkan	O
kepada	O
pemerintah	O
dan	O
30	O
lagi	O
diserahkan	O
lumbung	O
untuk	O
persediaan	O
bibit	O
Tindakan	O
pemerintah	O
ini	O
menimbulkan	O
kesengsaraan	O
Penebangan	O
hutan	O
-LRB-	O
untuk	O
pertanian	O
-RRB-	O
menyebabkan	O
bahaya	O
banjir	O
penyerahan	O
hasil	O
panen	O
dan	O
romusa	PERSON
menyebabkan	O
rakyat	O
kekurangan	O
makan	O
kurang	O
gizi	O
dan	O
stamina	O
menurun	O
Akibatnya	O
bahaya	O
kelaparan	O
melanda	O
di	O
berbagai	O
daerah	O
dan	O
timbul	O
